series_id,series_name,hit,imdb
245210,موسیقی متن بازی تایتان‌ فال ۲,0,8.5
245303,موسیقی متن فیلم زوتوپیا,0,8
244688,لگو جنگ ستارگان: بازسازی کهکشان,78,7.3
244572,موسیقی متن فیلم بازگشت مومیایی,0,None
242149,از نفس افتاده,0,6.4
243586,نبردهای کلاس آشپزی,94,8.7
244774,موسیقی متن بازی بارش هسته ای ۴,0,None
234194,دکتر اسلامپ,92,7.5
244712,موسیقی متن فیلم مخمصه,0,8.3
226357,آکادمی اسب های تک شاخ,91,6.5
244694,موسیقی متن فیلم انتقام‌ جویان,0,8
243908,پیش بینی آینده با بیل گیتس,76,5.8
244635,موسیقی متن فیلم دشمن,0,None
244680,موسیقی متن بازی فار کرای ۴,0,8
244521,موسیقی متن فیلم قطار سریع السیر قطبی,0,6.6
240552, بتمن: شوالیه شنل دار,84,7.3
240740,آغوش سرندیپیتی,91,8.3
208114,کد گیاس: لولوش شورشی,92,8.7
244413,داستان های بادانامو,83,6.1
244260,قصه شب,77,None
244314,هیدرو و فلوید,78,7
244058,مجموعه فیلم,0,6.4
243610,صحنه جرم: علفزارهای قتل تگزاس,77,6.6
243806,پنه لوپه,0,6.2
242387,لگو پیکسار,85,6.2
242725,چگونه تنها بمیریم,0,6.7
243123,خانواده عالی,83,7.7
243886,اوزوماکی,83,8.7
243784,قتل در یک شهر کوچک,88,6.8
243742,چیپ چیلا,83,3.8
243251,عجایب,79,6.7
242278,موسیقی متن فیلم دزدان دریایی کاراییب: نفرین مروارید سیاه,0,8.1
243114,جزیره میلیاردرها,58,6.3
242240,شش برادر اسکیزوفرنیک,92,7.1
243376,موسیقی متن بازی میراث هاگوارتز,0,None
242552,موسیقی متن فیلم گربه چکمه پوش: آخرین آرزو,0,7.8
243212,خرابکارهای سئول,87,7.7
243477,موسیقی متن فیلم فیلم لگویی,0,7.7
243076,متلاک,84,7.6
240886,زمین خشمگین,0,7.7
242868,وایات ارپ و نبرد کابویی,77,7.8
238659,بازگشت یک گانگستر به دبیرستان,96,7.8
243254,بهتر و بهترتر,91,6.9
243305,جزیره شهر,0,4.6
243307,سرزمین یو گابا گابا!,76,8.5
242795,هیولاها: داستان لایل و اریک منندز,88,7.9
242909,درون آتش: دختر گمشده,92,7.7
242890,یک رسوایی بسیار سلطنتی,79,7.6
242223,پایان تابستان,78,7.4
240983,آگاتا تمام مدت,86,6.7
243120,مهد کودک,71,6.9
242927,موسیقی متن فیلم مهلکه,0,7.6
239822,همزاد ,90,6.9
242411,موسیقی متن بازی الدن رینگ,0,9
233296,پنگوئن,93,8.7
242947,موسیقی متن فیلم شهر اشباح,0,8.6
238906,سنگ، کاغذ، قیچی,90,6.6
242974,موسیقی متن بازی آخرین بازمانده از ما,95,None
240173,ارتباط ,90,7.9
242696,آنخل دی ماریا: فرو ریختن دیوار,82,8.3
242663,کلاهبرداران توکیو,0,7.3
242619,موسیقی متن سریال ارباب حلقه ‌ها: حلقه ‌های قدرت,0,6.9
240306,سامورایی فراری,89,7.5
237838,مدرسه وایکینگ ها,86,6.4
238396,همکاری مغزها,89,6.8
242188,آی سی ۸۱۴: هواپیماربایی قندهار,73,5.5
237507,دونده دوست داشتنی,95,8.9
242181,آخرالزمان: هیتلر غرب را فتح می کند,89,7.6
